"name","alias_of","tlb","doc_category","doc_opcode","doc_fift","doc_stack","doc_gas","doc_description","","",""
"NOP","","#00","stack_basic","00","NOP","-","18","아무것도 하지 않습니다.","","",""
"SWAP","XCHG_0I","#01","stack_basic","01","SWAP","x y - y x","18","s1 XCHG0`과 동일합니다.","","",""
"XCHG_0I","","#0 i:(## 4) {1 <= i}","stack_basic","0i","s[i] XCHG0","","18","s0`을 `s[i]`, `1 <= i <= 15`로 교환합니다.","","",""
"XCHG_IJ","","#10 i:(## 4) j:(## 4) {1 <= i} {i + 1 <= j}","stack_basic","10ij","s[i] s[j] XCHG","","26","s[i]`를 `s[j]`, `1 <= i <= j <= 15`로 교환합니다.","","",""
"XCHG_0I_LONG","","#11 ii:uint8","stack_basic","11ii","s0 [ii] s() XCHG","","26","s0`을 `s[ii]`, `0 <= ii <= 255`로 교환합니다.","","",""
"XCHG_1I","","#1 i:(## 4) {2 <= i}","stack_basic","1i","s1 s[i] XCHG","","18","s1`을 `s[i]`, `2 <= i <= 15`로 교환합니다.","","",""
"PUSH","","#2 i:uint4","stack_basic","2i","s[i] PUSH","","18","이전 `s[i]`의 복사본을 스택에 밀어 넣습니다.","","",""
"DUP","PUSH","#20","stack_basic","20","DUP","x - x x","18","s0 PUSH`와 동일합니다.","","",""
"OVER","PUSH","#21","stack_basic","21","OVER","x y - x y x","18","s1 PUSH`와 동일합니다.","","",""
"POP","","#3 i:uint4","stack_basic","3i","s[i] POP","","18","이전 `s0` 값을 이전 `s[i]`에 넣습니다.","","",""
"DROP","POP","#30","stack_basic","30","DROP","x -","18","s0 POP`와 동일하게 스택 최상위 값을 버립니다.","","",""
"NIP","POP","#31","stack_basic","31","NIP","x y - y","18","'s1 POP'와 동일합니다.","","",""
"XCHG3","","#4 i:uint4 j:uint4 k:uint4","stack_complex","4ijk","s[i] s[j] s[k] XCHG3","","26","s2 s[i] XCHG` `s1 s[j] XCHG` `s[k] XCHG0`에 해당합니다.","","",""
"XCHG2","","#50 i:uint4 j:uint4","stack_complex","50ij","s[i] s[j] XCHG2","","26","s1 s[i] XCHG` `s[j] XCHG0`에 해당합니다.","","",""
"XCPU","","#51 i:uint4 j:uint4","stack_complex","51ij","s[i] s[j] XCPU","","26","s[i] XCHG0` `s[j] PUSH`에 해당합니다.","","",""
"PUXC","","#52 i:uint4 j:uint4","stack_complex","52ij","s[i] s[j-1] PUXC","","26","s[i] PUSH` `SWAP` `s[j] XCHG0`에 해당합니다.","","",""
"PUSH2","","#53 i:uint4 j:uint4","stack_complex","53ij","s[i] s[j] PUSH2","","26","s[i] PUSH` `s[j+1] PUSH`에 해당합니다.","","",""
"XCHG3_ALT","","#540 i:uint4 j:uint4 k:uint4","stack_complex","540ijk","s[i] s[j] s[k] XCHG3_l","","34","긴 형식의 `XCHG3`.","","",""
"XC2PU","","#541 i:uint4 j:uint4 k:uint4","stack_complex","541ijk","s[i] s[j] s[k] XC2PU","","34","s[i] s[j] XCHG2` `s[k] PUSH`에 해당합니다.","","",""
"XCPUXC","","#542 i:uint4 j:uint4 k:uint4","stack_complex","542ijk","s[i] s[j] s[k-1] XCPUXC","","34","s1 s[i] XCHG` `s[j] s[k-1] PUXC`에 해당합니다.","","",""
"XCPU2","","#543 i:uint4 j:uint4 k:uint4","stack_complex","543ijk","s[i] s[j] s[k] XCPU2","","34","s[i] XCHG0` `s[j] s[k] PUSH2`에 해당합니다.","","",""
"PUXC2","","#544 i:uint4 j:uint4 k:uint4","stack_complex","544ijk","s[i] s[j-1] s[k-1] PUXC2","","34","s[i] PUSH` `s2 XCHG0` `s[j] s[k] XCHG2`에 해당합니다.","","",""
"PUXCPU","","#545 i:uint4 j:uint4 k:uint4","stack_complex","545ijk","s[i] s[j-1] s[k-1] PUXCPU","","34","s[i] s[j-1] PUXC` `s[k] PUSH`에 해당합니다.","","",""
"PU2XC","","#546 i:uint4 j:uint4 k:uint4","stack_complex","546ijk","s[i] s[j-1] s[k-2] PU2XC","","34","s[i] PUSH` `SWAP` `s[j] s[k-1] PUXC`에 해당합니다.","","",""
"PUSH3","","#547 i:uint4 j:uint4 k:uint4","stack_complex","547ijk","s[i] s[j] s[k] PUSH3","","34","s[i] PUSH` `s[j+1] s[k+1] PUSH2`에 해당합니다.","","",""
"BLKSWAP","","#55 i:uint4 j:uint4","stack_complex","55ij","[i+1] [j+1] BLKSWAP","","26","두 블록 `s[j+i+1] … s[j+1]`과 `s[j] … s0`을 순열합니다.
0 <= i,j <= 15`
`[i+1] [j+1] REVERSE` `[j+1] 0 REVERSE` `[i+j+2] 0 REVERSE`와 동등합니다.","","",""
"ROT2","BLKSWAP","#5513","stack_complex","5513","ROT2
2ROT","a b c d e f - c d e f a b","26","스택 항목의 맨 위 세 쌍을 회전합니다.","","",""
"ROLL","BLKSWAP","#550 i:uint4","stack_complex","550i","[i+1] ROLL","","26","맨 위 `i+1` 스택 항목을 회전합니다.
1 [i+1] BLKSWAP`에 해당합니다.","","",""
"ROLLREV","BLKSWAP","#55 i:uint4 zero:(## 4) {zero = 0}","stack_complex","55i0","[i+1] -ROLL
[i+1] ROLLREV","","26","위쪽 `i+1` 스택 항목을 다른 방향으로 회전합니다.
'[i+1] 1 BLKSWAP'에 해당합니다.","","",""
"PUSH_LONG","","#56 ii:uint8","stack_complex","56ii","[ii] s() PUSH","","26","이전 `s[ii]`의 복사본을 스택에 밀어 넣습니다.
0 <= ii <= 255`","","",""
"POP_LONG","","#57 ii:uint8","stack_complex","57ii","[ii] s() POP","","26","이전 `s0` 값을 이전 `s[ii]`에 넣습니다.
`0 <= ii <= 255`","","",""
"ROT","","#58","stack_complex","58","ROT","a b c - b c a","18","1 2 BLKSWAP` 또는 `s2 s1 XCHG2`에 해당합니다.","","",""
"ROTREV","","#59","stack_complex","59","ROTREV
-ROT","a b c - c a b","18","2 1 BLKSWAP` 또는 `s2 s2 XCHG2`에 해당합니다.","","",""
"SWAP2","","#5A","stack_complex","5A","SWAP2
2SWAP","a b c d - c d a b","18","2 2 BLKSWAP` 또는 `s3 s2 XCHG2`에 해당합니다.","","",""
"DROP2","","#5B","stack_complex","5B","DROP2
2DROP","a b - ","18","드롭` `드롭`에 해당합니다.","","",""
"DUP2","","#5C","stack_complex","5C","DUP2
2DUP","a b - a b a b","18","s1 s0 PUSH2`에 해당합니다.","","",""
"OVER2","","#5D","stack_complex","5D","OVER2
2OVER","a b c d - a b c d a b","18","'s3 s2 PUSH2'에 해당합니다.","","",""
"REVERSE","","#5E i:uint4 j:uint4","stack_complex","5Eij","[i+2] [j] REVERSE","","26","s[j+i+1] … s[j]`의 순서를 반전시킵니다.","","",""
"BLKDROP","","#5F0 i:uint4","stack_complex","5F0i","[i] BLKDROP","","26","'DROP'을 'i'번 수행한 것과 동일합니다.","","",""
"BLKPUSH","","#5F i:(## 4) j:uint4 {1 <= i}","stack_complex","5Fij","[i] [j] BLKPUSH","","26","PUSH s(j)`가 `i`번 수행된 것과 같습니다.
1 <= i <= 15`, `0 <= j <= 15`.","","",""
"PICK","","#60","stack_complex","60","PICK
PUSHX","","18","스택에서 정수 `i`를 꺼낸 다음 `s[i] PUSH`를 수행합니다.","","",""
"ROLLX","","#61","stack_complex","61","ROLLX","","18","스택에서 정수 `i`를 꺼낸 다음 `1 [i] BLKSWAP`을 수행합니다.","","",""
"-ROLLX","","#62","stack_complex","62","-ROLLX
ROLLREVX","","18","스택에서 정수 `i`를 꺼낸 다음 `[i] 1 BLKSWAP`을 수행합니다.","","",""
"BLKSWX","","#63","stack_complex","63","BLKSWX","","18","스택에서 정수 `i`,`j`를 꺼낸 다음 `[i] [j] BLKSWAP`을 수행합니다.","","",""
"REVX","","#64","stack_complex","64","REVX","","18","스택에서 정수 `i`,`j`를 꺼낸 다음 `[i] [j] REVERSE`를 수행합니다.","","",""
"DROPX","","#65","stack_complex","65","DROPX","","18","스택에서 정수 `i`를 꺼낸 다음 `[i] BLKDROP`을 수행합니다.","","",""
"TUCK","","#66","stack_complex","66","TUCK","a b - b a b","18","스왑` `오버` 또는 `s1 s1 XCPU`에 해당합니다.","","",""
"XCHGX","","#67","stack_complex","67","XCHGX","","18","스택에서 정수 `i`를 꺼낸 다음 `s[i] XCHG`를 수행합니다.","","",""
"DEPTH","","#68","stack_complex","68","DEPTH","- depth","18","스택의 현재 깊이를 푸시합니다.","","",""
"CHKDEPTH","","#69","stack_complex","69","CHKDEPTH","i -","18/58","스택에서 정수 `i`를 꺼낸 다음 최소 `i`개의 요소가 있는지 확인하고, 그렇지 않으면 스택 언더플로 예외를 생성합니다.","","",""
"ONLYTOPX","","#6A","stack_complex","6A","ONLYTOPX","","18","스택에서 정수 `i`를 꺼낸 다음 맨 위 `i` 요소를 제외한 모든 요소를 제거합니다.","","",""
"ONLYX","","#6B","stack_complex","6B","ONLYX","","18","스택에서 정수 `i`를 꺼낸 다음 맨 아래 `i` 요소만 남깁니다. 대략 `DEPTH` `SWAP` `SUB` `DROPX`와 동일합니다.","","",""
"BLKDROP2","","#6C i:(## 4) j:uint4 {1 <= i}","stack_complex","6Cij","[i] [j] BLKDROP2","","26","i` 스택 요소를 맨 위 `j` 요소 아래로 떨어뜨립니다.
1 <= i <= 15`, `0 <= j <= 15`
`[i+j] 0 REVERSE` `[i] BLKDROP` `[j] 0 REVERSE`와 동일합니다.","","",""
"NULL","","#6D","tuple","6D","NULL
PUSHNULL"," - null","18","Null_ 타입의 유일한 값을 푸시합니다.","","",""
"ISNULL","","#6E","tuple","6E","ISNULL","x - ?","18","x`가 _Null_인지 확인하고, 그에 따라 `-1` 또는 `0`을 반환합니다.","","",""
"TUPLE","","#6F0 n:uint4","tuple","6F0n","[n] TUPLE","x_1 ... x_n - t","26+n","n` 값 `x_1`,..., `x_n`을 포함하는 새로운 _Tuple_ `t=(x_1, … ,x_n)`을 생성합니다.
`0 <= n <= 15`","","",""
"NIL","TUPLE","#6F00","tuple","6F00","NIL","- t","26","길이가 0인 유일한 _Tuple_ `t=()`를 푸시합니다.","","",""
"SINGLE","TUPLE","#6F01","tuple","6F01","SINGLE","x - t","27","싱글톤 `t:=(x)`, 즉 길이 1의 _Tuple_을 생성합니다.","","",""
"PAIR","TUPLE","#6F02","tuple","6F02","PAIR
CONS","x y - t","28","t:=(x,y)` 쌍을 생성합니다.","","",""
